layer,Type,log_stock
0-20,Seasonal frozen ground,1.123417129
0-20,Seasonal frozen ground,1.230071176
0-20,Seasonal frozen ground,1.312118939
0-20,Seasonal frozen ground,0.834339306
0-20,Seasonal frozen ground,0.965237459
0-20,Seasonal frozen ground,1.173851483
0-20,Seasonal frozen ground,0.850143658
0-20,Seasonal frozen ground,0.988421602
0-20,Seasonal frozen ground,1.195342181
0-20,Seasonal frozen ground,0.857835263
0-20,Seasonal frozen ground,0.988421602
0-20,Seasonal frozen ground,1.195342181
20-40,Seasonal frozen ground,0.779382899
20-40,Seasonal frozen ground,0.779382899
20-40,Seasonal frozen ground,0.757273012
20-40,Seasonal frozen ground,0.779382899
20-40,Seasonal frozen ground,0.779382899
20-40,Seasonal frozen ground,0.757273012
20-40,Seasonal frozen ground,0.779382899
20-40,Seasonal frozen ground,0.779382899
20-40,Seasonal frozen ground,0.757273012
0-20,Seasonal frozen ground,1.951196812
0-20,Seasonal frozen ground,1.951196812
0-20,Seasonal frozen ground,2.004445882
0-20,Seasonal frozen ground,1.989142855
20-40,Seasonal frozen ground,2.048289813
20-40,Seasonal frozen ground,2.058427695
0-20,Seasonal frozen ground,1.176410815
0-20,Seasonal frozen ground,1.079710795
0-20,Seasonal frozen ground,1.053757443
0-20,Seasonal frozen ground,0.900747208
0-20,Seasonal frozen ground,0.960303339
0-20,Seasonal frozen ground,0.864553829
0-20,Seasonal frozen ground,0.684953025
0-20,Seasonal frozen ground,0.504062883
0-20,Seasonal frozen ground,0.543163771
0-20,Seasonal frozen ground,0.287264126
0-20,Seasonal frozen ground,0.292078772
0-20,Seasonal frozen ground,0.34182215
0-20,Seasonal frozen ground,0.276213565
0-20,Seasonal frozen ground,0.413182371
0-20,Seasonal frozen ground,0.246301577
0-20,Seasonal frozen ground,0.240549248
0-20,Seasonal frozen ground,0.264496704
0-20,Seasonal frozen ground,0.293954471
0-20,Seasonal frozen ground,0.21571157
0-20,Seasonal frozen ground,0.328770904
0-20,Seasonal frozen ground,0.153363573
0-20,Seasonal frozen ground,0.792489745
0-20,Seasonal frozen ground,1.088855238
20-40,Seasonal frozen ground,0.854777898
0-20,Seasonal frozen ground,0.901449471
20-40,Seasonal frozen ground,0.553184433
0-20,Permafrost,0.892274908
0-20,Permafrost,0.892683739
0-20,Permafrost,1.022176243
0-20,Permafrost,0.784210736
0-20,Seasonal frozen ground,0.386677284
0-20,Seasonal frozen ground,0.522704993
0-20,Seasonal frozen ground,0.455758203
0-20,Seasonal frozen ground,0.629001619
0-20,Seasonal frozen ground,0.691435152
0-20,Seasonal frozen ground,0.867632453
0-20,Seasonal frozen ground,1.07471407
0-20,Seasonal frozen ground,0.314183339
0-20,Seasonal frozen ground,0.38344552
0-20,Seasonal frozen ground,0.365398122
0-20,Seasonal frozen ground,0.245083096
0-20,Seasonal frozen ground,0.460711462
0-20,Seasonal frozen ground,0.370350222
0-20,Seasonal frozen ground,0.370350222
0-20,Seasonal frozen ground,0.420516831
0-20,Seasonal frozen ground,0.809142053
0-20,Seasonal frozen ground,0.561602204
0-20,Seasonal frozen ground,0.489339626
0-20,Seasonal frozen ground,0.40715287
20-40,Seasonal frozen ground,0.351022885
20-40,Seasonal frozen ground,0.213995649
0-20,Seasonal frozen ground,1.137508682
0-20,Seasonal frozen ground,1.090363225
0-20,Seasonal frozen ground,1.037609037
0-20,Permafrost,1.711915831
0-20,Permafrost,1.727233238
0-20,Permafrost,1.626658118
20-40,Permafrost,1.740687263
0-20,Seasonal frozen ground,0.500428598
0-20,Seasonal frozen ground,0.433481808
0-20,Seasonal frozen ground,0.606725225
0-20,Seasonal frozen ground,0.701343441
0-20,Seasonal frozen ground,1.106427535
0-20,Seasonal frozen ground,1.170591798
0-20,Seasonal frozen ground,1.402031858
0-20,Seasonal frozen ground,1.529976711
0-20,Seasonal frozen ground,1.339262323
0-20,Seasonal frozen ground,0.632760888
0-20,Seasonal frozen ground,0.598067905
0-20,Seasonal frozen ground,0.332519251
0-20,Seasonal frozen ground,0.402364569
0-20,Seasonal frozen ground,0.650424097
0-20,Seasonal frozen ground,0.054613055
0-20,Seasonal frozen ground,0.315214393
0-20,Seasonal frozen ground,0.250615147
0-20,Seasonal frozen ground,0.488832634
0-20,Seasonal frozen ground,0.463713862
0-20,Seasonal frozen ground,0.634474932
0-20,Seasonal frozen ground,0.516493962
20-40,Seasonal frozen ground,0.476499429
0-20,Seasonal frozen ground,0.637457224
0-20,Seasonal frozen ground,0.572213711
20-40,Seasonal frozen ground,0.504961004
0-20,Seasonal frozen ground,0.538081879
0-20,Seasonal frozen ground,0.547994447
20-40,Seasonal frozen ground,0.472461181
0-20,Seasonal frozen ground,0.394703519
0-20,Seasonal frozen ground,0.517596933
20-40,Seasonal frozen ground,0.427144822
0-20,Seasonal frozen ground,0.586532481
0-20,Seasonal frozen ground,0.584936962
20-40,Seasonal frozen ground,0.536151093
0-20,Seasonal frozen ground,0.645201079
0-20,Seasonal frozen ground,0.515818543
20-40,Seasonal frozen ground,0.473156608
0-20,Seasonal frozen ground,0.672794075
0-20,Seasonal frozen ground,0.413711963
20-40,Seasonal frozen ground,0.345889756
0-20,Seasonal frozen ground,0.548906472
0-20,Seasonal frozen ground,0.507348624
20-40,Seasonal frozen ground,0.502116477
0-20,Seasonal frozen ground,0.16070732
0-20,Seasonal frozen ground,0.200864458
20-40,Seasonal frozen ground,0.202795432
0-20,Seasonal frozen ground,0.098519258
0-20,Seasonal frozen ground,0.088896297
20-40,Seasonal frozen ground,-0.022117322
0-20,Seasonal frozen ground,0.214081302
0-20,Seasonal frozen ground,0.130744096
20-40,Seasonal frozen ground,0.049334966
0-20,Seasonal frozen ground,0.374250617
0-20,Seasonal frozen ground,0.27131861
20-40,Seasonal frozen ground,0.08027149
0-20,Seasonal frozen ground,-0.563455723
0-20,Seasonal frozen ground,-0.684029655
20-40,Seasonal frozen ground,-0.606459893
20-40,Seasonal frozen ground,-0.674484337
40-60,Seasonal frozen ground,-0.705798399
0-20,Seasonal frozen ground,0.536487738
0-20,Seasonal frozen ground,0.490472582
20-40,Seasonal frozen ground,0.371082647
20-40,Seasonal frozen ground,0.307234955
40-60,Seasonal frozen ground,0.20588073
0-20,Seasonal frozen ground,0.219060332
0-20,Seasonal frozen ground,-0.077648289
20-40,Seasonal frozen ground,-0.206265477
20-40,Seasonal frozen ground,-0.328197933
40-60,Seasonal frozen ground,-0.569795901
0-20,Seasonal frozen ground,0.106653173
20-40,Seasonal frozen ground,0.024805729
40-60,Seasonal frozen ground,-0.369063881
