layer,log_stock,MAP
0-20,0.975412506,575
20-40,0.648789214,575
0-20,1.461508431,575
0-20,1.175838716,575
20-40,0.482873584,575
0-20,1.449609208,575
0-20,1.215526002,575
20-40,0.571475904,575
0-20,1.437374751,575
0-20,1.215526002,575
20-40,0.482873584,575
0-20,1.457547649,575
0-20,1.179584534,575
20-40,0.555142835,575
0-20,1.461508431,575
0-20,1.205019668,575
20-40,0.462278176,575
0-20,1.029156424,600
0-20,0.874344956,600
20-40,0.647148153,600
20-40,0.250478555,600
0-20,0.8722099,600
0-20,0.717815244,600
20-40,0.501407106,600
20-40,0.35758041,600
0-20,0.81646005,600
0-20,0.601886239,600
20-40,0.455986239,600
20-40,0.140972885,600
0-20,1.46146401,575
0-20,1.00607907,575
0-20,0.99490813,575
0-20,1.011933965,575
0-20,0.927733663,575
20-40,0.557006452,575
0-20,1.324305096,600
0-20,0.990791564,600
0-20,0.765482282,600
0-20,1.190970062,600
0-20,0.648798963,600
20-40,0.570356106,600
0-20,1.253118864,600
0-20,0.548023154,600
20-40,0.23363058,600
0-20,0.872076985,575
0-20,0.644271142,575
20-40,0.392352194,575
20-40,0.380374072,575
0-20,1.06483222,575
0-20,0.928178651,575
20-40,0.336475744,575
20-40,0.560064522,575
0-20,0.900552825,575
0-20,1.035992955,575
20-40,1.161269751,575
20-40,1.242474838,575
0-20,1.039334789,575
0-20,1.854073951,575
0-20,1.772131661,575
0-20,1.732941108,575
20-40,0.447201459,575
20-40,0.067160162,575
0-20,1.253764335,600
20-40,0.479143248,600
0-20,,569
0-20,,569
0-20,1.650268543,595
0-20,1.384575613,595
0-20,1.171129437,595
0-20,1.086188505,595
0-20,0.780921878,595
0-20,0.557652966,595
0-20,0.357784692,595
0-20,1.608329166,595
0-20,1.398148626,595
0-20,1.313900951,595
0-20,1.207688532,595
0-20,1.136872327,595
0-20,0.988488137,595
0-20,1.004046599,595
0-20,1.174582745,775
0-20,1.011621686,775
0-20,1.168521054,775
0-20,1.039492966,775
0-20,1.140608964,775
0-20,1.037140002,775
20-40,0.86890294,775
20-40,0.879898324,775
20-40,0.851869601,775
20-40,0.86890294,775
20-40,0.911306789,775
20-40,0.906227263,775
20-40,-0.02974613,450
20-40,0.131105162,450
20-40,-0.015022874,450
20-40,0.17995373,450
0-20,,569
0-20,,569
0-20,,569
0-20,1.779856039,595
0-20,1.574411102,595
0-20,1.349238893,595
0-20,1.158820316,595
0-20,0.635645757,595
0-20,0.352103018,595
0-20,0.152532948,595
20-40,-0.000782434,450
20-40,-0.000782434,450
