layer,log_stock,NDVI
0-20,1.267935415,0.306186
0-20,1.358586181,0.306186
0-20,1.083147729,0.306186
0-20,1.02057092,0.306186
0-20,1.004364371,0.306186
0-20,1.007408059,0.306186
0-20,1.001587481,0.306186
0-20,1.006364196,0.306186
0-20,1.009676908,0.306186
0-20,0.979968809,0.306186
0-20,0.948058734,0.306186
20-40,0.544564097,0.306186
0-20,0.965728369,0.306186
0-20,0.918707476,0.306186
20-40,0.568858538,0.306186
0-20,0.986917669,0.306186
0-20,0.92389549,0.306186
20-40,0.687279192,0.306186
0-20,0.974995917,0.306186
0-20,0.929022259,0.306186
20-40,0.721051792,0.306186
0-20,1.001667958,0.306186
0-20,0.975412506,0.306186
20-40,0.648789214,0.306186
0-20,1.461508431,0.306186
0-20,1.175838716,0.306186
20-40,0.482873584,0.306186
0-20,1.449609208,0.306186
0-20,1.215526002,0.306186
20-40,0.571475904,0.306186
0-20,1.437374751,0.306186
0-20,1.215526002,0.306186
20-40,0.482873584,0.306186
0-20,1.457547649,0.304837
0-20,1.179584534,0.304837
20-40,0.555142835,0.304837
0-20,1.461508431,0.304837
0-20,1.205019668,0.304837
20-40,0.462278176,0.304837
0-20,1.029156424,0.304837
0-20,0.874344956,0.304837
20-40,0.647148153,0.304837
20-40,0.250478555,0.304837
0-20,0.8722099,0.304837
0-20,0.717815244,0.304837
20-40,0.501407106,0.304837
20-40,0.35758041,0.304837
0-20,0.81646005,0.304837
0-20,0.601886239,0.304837
20-40,0.455986239,0.304837
20-40,0.140972885,0.304837
0-20,1.46146401,0.350481
0-20,1.00607907,0.350481
0-20,0.99490813,0.350481
0-20,1.011933965,0.350481
0-20,0.927733663,0.350481
20-40,0.557006452,0.350481
0-20,1.324305096,0.304244
0-20,0.990791564,0.304244
0-20,0.765482282,0.304244
0-20,1.190970062,0.304244
0-20,0.648798963,0.304244
20-40,0.570356106,0.304244
0-20,1.253118864,0.304837
0-20,0.548023154,0.304837
20-40,0.23363058,0.304837
0-20,0.872076985,0.304837
0-20,0.644271142,0.304837
20-40,0.392352194,0.304837
20-40,0.380374072,0.304837
0-20,1.06483222,0.304837
0-20,0.928178651,0.304837
20-40,0.336475744,0.304837
20-40,0.560064522,0.304837
0-20,0.900552825,0.304837
0-20,1.035992955,0.304837
20-40,1.161269751,0.304837
20-40,1.242474838,0.304837
0-20,1.039334789,0.24353
0-20,1.854073951,0.510122
0-20,1.772131661,0.510122
0-20,1.732941108,0.510122
20-40,0.447201459,0.510122
20-40,0.067160162,0.510122
0-20,1.253764335,0.510122
20-40,0.479143248,0.510122
0-20,,0.510122
0-20,,0.510122
0-20,1.650268543,0.510122
0-20,1.384575613,0.510122
0-20,1.171129437,0.510122
0-20,1.086188505,0.510122
0-20,0.780921878,0.510122
0-20,0.557652966,0.54591
0-20,0.357784692,0.54591
0-20,1.608329166,0.54591
0-20,1.398148626,0.54591
0-20,1.313900951,0.54591
0-20,1.207688532,0.54591
0-20,1.136872327,0.54591
0-20,0.988488137,0.54591
0-20,1.004046599,0.54591
0-20,1.174582745,0.54591
0-20,1.011621686,0.54591
0-20,1.168521054,0.54591
0-20,1.039492966,0.286799
0-20,1.140608964,0.286799
0-20,1.037140002,0.286799
20-40,0.86890294,0.286799
20-40,0.879898324,0.24353
20-40,0.851869601,0.24353
20-40,0.86890294,0.24353
20-40,0.911306789,0.510122
20-40,0.906227263,0.510122
20-40,-0.02974613,0.510122
20-40,0.131105162,0.510122
20-40,-0.015022874,0.510122
20-40,0.17995373,0.510122
0-20,,0.510122
0-20,,0.286799
0-20,,0.286799
0-20,1.779856039,0.291679
0-20,1.574411102,0.291679
0-20,1.349238893,0.291679
0-20,1.158820316,0.291679
0-20,0.635645757,0.340727
0-20,0.352103018,0.340727
0-20,0.152532948,0.340727
20-40,-0.000782434,0.445472
20-40,-0.000782434,0.445472
