layer,log_stock,NDSI
0-20,1.115506701,11.0199003
0-20,1.957013138,10.8541002
0-20,1.765757937,10.8541002
0-20,2.092467993,10.8541002
0-20,1.938159331,10.8541002
0-20,2.001491409,10.8541002
0-20,1.821539729,10.8541002
0-20,2.097711127,12.6618004
20-40,2.119476188,12.6618004
0-20,2.052683786,12.7136002
20-40,2.034916623,12.7136002
0-20,0.942611212,11.0199003
0-20,0.530507087,11.0199003
0-20,0.942611212,11.0199003
0-20,0.482679283,11.0199003
0-20,0.969747597,11.0199003
0-20,0.58951177,11.0199003
0-20,1.122221155,11.0199003
0-20,0.685003291,11.0199003
0-20,0.956391318,11.0199003
0-20,0.565243195,11.0199003
0-20,1.006048267,11.0199003
0-20,0.652052881,11.0199003
0-20,1.016548697,11.0199003
0-20,0.573586355,11.0199003
0-20,1.033963908,11.0199003
0-20,0.634590145,11.0199003
0-20,1.062780507,11.0199003
0-20,0.694373546,11.0199003
0-20,1.019518431,11.0199003
0-20,0.641712048,11.0199003
0-20,0.908034439,11.0199003
0-20,0.561168226,11.0199003
0-20,0.874463296,11.0199003
0-20,0.497515721,11.0199003
0-20,0.872468652,11.0199003
0-20,0.467318019,11.0199003
0-20,1.023881044,11.0199003
0-20,0.678562112,11.0199003
0-20,0.892602129,11.0199003
0-20,0.516773311,11.0199003
0-20,0.925163519,27.6084003
0-20,0.511391327,27.6084003
0-20,1.198885752,13.9197998
0-20,0.78521594,13.9197998
0-20,1.29345979,18.7884007
0-20,0.717544023,18.7884007
0-20,1.94732587,13.6177998
0-20,1.891660091,13.6177998
20-40,1.992845011,13.6177998
0-20,1.95273434,13.6177998
0-20,1.931813704,13.6177998
20-40,1.948295573,13.6177998
0-20,1.154484837,10.8541002
0-20,2.043582317,12.1788998
20-40,2.126170385,12.1788998
20-40,2.046276596,12.1788998
0-20,0.970607222,11.0199003
0-20,0.511509071,11.0199003
0-20,0.998750945,11.0199003
0-20,0.671291388,11.0199003
0-20,1.011330216,11.0199003
0-20,0.642757282,11.0199003
0-20,1.237630689,24.4498997
0-20,2.120402548,18.3852997
0-20,1.95273434,13.6177998
0-20,1.931813704,13.6177998
20-40,1.856897985,13.6177998
0-20,1.94732587,13.6177998
0-20,1.891660091,13.6177998
20-40,1.948295573,13.6177998
0-20,1.239559728,21.0009003
20-40,1.202673547,21.0009003
0-20,1.352505127,6.9309402
0-20,1.379991143,6.9309402
0-20,1.252616167,6.9309402
0-20,1.398610736,6.9309402
0-20,1.252616167,6.9309402
0-20,1.198263295,6.9309402
0-20,1.262701627,6.9309402
0-20,1.247484226,6.9309402
0-20,1.540478636,6.9309402
0-20,1.252616167,6.9309402
0-20,1.335921436,6.9309402
0-20,1.426835154,6.9309402
0-20,1.242290916,6.9309402
0-20,1.262701627,6.9309402
0-20,1.198263295,6.9309402
0-20,1.162107769,6.9309402
0-20,0.920553232,9.5033197
0-20,1.163852236,6.1280398
0-20,0.675140175,4.8455901
0-20,1.163852236,4.5174999
0-20,0.776340817,9.7727499
0-20,0.804891467,7.6736002
0-20,0.920553232,14.2895002
0-20,0.675140175,3.7051499
0-20,0.675140175,4.7972598
0-20,0.785158931,13.6337004
0-20,0.804891467,2.8889999
0-20,0.675140175,7.9183002
0-20,0.675140175,4.9176002
0-20,0.675140175,3.27455
0-20,0.675140175,10.9222002
0-20,0.776340817,17.0198002
0-20,1.163852236,10.3202
0-20,0.985644689,8.4425402
0-20,0.675140175,5.3215299
0-20,1.030194785,7.3896298
0-20,1.093981704,7.3896298
20-40,1.072617477,7.3896298
20-40,1.173535895,7.3896298
0-20,1.122019172,7.3896298
0-20,1.224377652,7.3896298
20-40,1.151614972,7.3896298
20-40,1.224688417,7.3896298
0-20,1.15192118,7.3896298
0-20,1.11320777,7.3896298
20-40,1.115011071,7.3896298
20-40,1.098712931,7.3896298
0-20,1.112605002,7.3896298
0-20,1.218220304,7.3896298
20-40,1.240049772,7.3896298
20-40,1.230039981,7.3896298
0-20,1.151431144,7.3896298
0-20,1.242789809,7.3896298
20-40,1.258301976,7.3896298
20-40,1.145631415,7.3896298
0-20,0.792593379,4.8370099
0-20,0.416593914,4.8370099
20-40,0.241506635,4.8370099
20-40,0.39814842,4.8370099
0-20,0.637393654,4.8370099
0-20,0.416314248,4.8370099
20-40,0.305351369,4.8370099
20-40,0.377626753,4.8370099
0-20,0.801176015,26.6973
0-20,0.940941554,16.6912994
0-20,1.030798763,6.3424001
0-20,1.61979524,16.6912994
0-20,,12.9194002
0-20,,8.7215595
0-20,,11.0702
0-20,0.706046161,21.3197994
0-20,,13.1043997
0-20,,8.7215595
0-20,1.163703614,17.8374004
0-20,1.20370413,18.2049007
0-20,0.534491376,17.8374004
0-20,1.211599963,15.1943998
0-20,,14.3400002
