layer,log_stock,pH
0-20,1.402031858,5.93
0-20,1.529976711,5.36
0-20,1.339262323,6.37
0-20,0.632760888,9
0-20,0.598067905,9.4
0-20,0.332519251,9.5
0-20,0.402364569,8.5
0-20,0.650424097,8.4
0-20,0.054613055,9.6
0-20,0.315214393,8.7
0-20,0.250615147,9.5
0-20,0.488832634,8.1
0-20,0.463713862,9.1
0-20,0.634474932,8.6
0-20,0.516493962,9
20-40,0.476499429,9.1
0-20,0.637457224,8.3
0-20,0.572213711,8.7
20-40,0.504961004,9.2
0-20,0.538081879,9.3
0-20,0.547994447,9.8
20-40,0.472461181,9.9
0-20,0.394703519,8.3
0-20,0.517596933,8.6
20-40,0.427144822,9
0-20,0.586532481,9.3
0-20,0.584936962,9.1
20-40,0.536151093,9.6
0-20,0.645201079,8.8
0-20,0.515818543,9.6
20-40,0.473156608,9.4
0-20,0.672794075,8.8
0-20,0.413711963,9.8
20-40,0.345889756,10.1
0-20,0.548906472,9
0-20,0.507348624,9.9
20-40,0.502116477,9.9
0-20,0.16070732,10.2
0-20,0.200864458,10.5
20-40,0.202795432,10.4
0-20,0.098519258,10.2
0-20,0.088896297,10.4
20-40,-0.022117322,10.4
0-20,0.214081302,10.1
0-20,0.130744096,10.4
20-40,0.049334966,10
0-20,0.374250617,9.9
0-20,0.27131861,10.3
20-40,0.08027149,10.2
0-20,-0.563455723,7.88
0-20,-0.684029655,7.88
20-40,-0.606459893,7.88
20-40,-0.674484337,7.88
0-20,0.536487738,8.98
0-20,0.490472582,8.98
20-40,0.371082647,8.98
20-40,0.307234955,8.98
0-20,0.219060332,7.52
0-20,-0.077648289,7.05
20-40,-0.206265477,7.04
20-40,-0.328197933,7.02
0-20,0.106653173,8.57
20-40,0.024805729,8.71
0-20,0.028408565,7.35
20-40,0.171726454,7.9
0-20,0.407815642,7.26
20-40,0.28057837,7.5
0-20,0.331439444,7.87
20-40,0.265148139,7.91
0-20,0.234122291,6.76
20-40,0.171726454,6.69
0-20,0.386677284,10.2
0-20,0.522704993,9.7
0-20,0.455758203,9.9
0-20,0.629001619,9.4
0-20,0.691435152,8.4
0-20,0.957825576,4.84
20-40,0.363122888,4.14
0-20,1.162110161,4.41
0-20,0.916284143,5.45
0-20,0.729638274,5.85
0-20,1.045083464,5.52
0-20,1.067361777,5.64
0-20,1.025417293,5.64
0-20,0.908883743,5.83
20-40,0.748018929,6.58
0-20,0.954265671,6
0-20,0.460963959,6.6999998
0-20,0.357500335,6.6999998
0-20,0.164578868,6.6999998
0-20,1.14527847,5.4
0-20,1.326992542,5.49
0-20,1.158731486,5.73
0-20,1.23802602,6
0-20,0.839402621,6
20-40,0.615655515,6
0-20,1.230448921,6
0-20,0.680081572,6
20-40,0.595760686,6
0-20,0.829020585,6
0-20,0.610660163,6
20-40,0.537768739,6
0-20,0.667565014,6
0-20,0.510115865,6
20-40,0.501387941,6
0-20,1.237821115,5.23
0-20,0.83974445,5.45
20-40,0.61500683,5.7
0-20,1.230587873,5.32
0-20,0.679340666,5.58
20-40,0.595760686,5.7
0-20,0.829720496,5.6
0-20,0.610080717,5.72
20-40,0.535825584,5.67
0-20,0.667565014,5.6
0-20,0.511573231,5.48
20-40,0.502230414,5.44
0-20,0.570584966,6.37
0-20,0.731427587,6.38
0-20,0.951030392,6.39
0-20,0.896548262,6.6
20-40,1.176841072,7.74
20-40,1.189641322,8.24
20-40,1.341651321,7.24
20-40,1.220505573,7.37
0-20,0.676678981,6.46
0-20,0.811414126,6.54
0-20,0.870570099,6.62
0-20,0.908324139,6.51
20-40,0.98099906,6.38
20-40,1.377300422,6.62
20-40,1.227529357,6.86
20-40,1.199996933,7.14
0-20,0.956480588,6.6999998
0-20,0.928530012,6.6999998
0-20,0.836873284,6.6999998
0-20,0.989114178,6.6999998
0-20,0.837854741,6.6999998
0-20,0.71015292,6.6999998
0-20,1.010242273,6.6999998
0-20,1.033525079,6.6999998
0-20,0.961039317,6.6999998
0-20,0.991185303,6.6999998
0-20,0.855286501,6.6999998
0-20,0.705998767,6.6999998
0-20,0.97982143,6.6999998
0-20,0.787262057,6.6999998
0-20,1.077043608,6.1999998
0-20,1.066706745,6.1999998
0-20,1.123360905,6.1999998
0-20,1.186383299,6.1999998
0-20,1.106552602,6.1999998
0-20,1.235729388,6.1999998
0-20,0.640775505,6.1999998
0-20,0.976521462,6.1999998
0-20,1.12699848,6.1999998
0-20,1.114080968,6.1999998
0-20,1.131255424,6.6999998
0-20,0.942510055,6.6999998
20-40,0.785275723,7.0999999
20-40,0.653388126,7.0999999
0-20,1.156609113,6.1999998
0-20,0.899467016,6.1999998
20-40,0.530192012,5.9000001
20-40,0.479572431,5.9000001
0-20,1.775943777,5.8
0-20,1.370016893,5.7
0-20,1.313713714,5.68
0-20,1.267935415,5.59
0-20,1.358586181,5.43
0-20,1.083147729,5.71
0-20,1.02057092,5.89
0-20,1.004364371,5.53
0-20,1.007408059,5.73
0-20,1.001587481,5.76
0-20,1.006364196,5.78
0-20,1.009676908,5.6
0-20,0.979968809,6.1999998
0-20,0.948058734,6.1999998
20-40,0.544564097,5.9000001
0-20,0.965728369,6.1999998
0-20,0.918707476,6.1999998
20-40,0.568858538,5.9000001
0-20,0.986917669,6.1999998
0-20,0.92389549,6.1999998
20-40,0.687279192,5.9000001
0-20,0.974995917,6.1999998
0-20,0.929022259,6.1999998
20-40,0.721051792,5.9000001
0-20,1.001667958,6.1999998
0-20,0.975412506,6.1999998
20-40,0.648789214,5.9000001
0-20,1.461508431,6.1999998
0-20,1.175838716,6.1999998
20-40,0.482873584,5.9000001
0-20,1.449609208,6.1999998
0-20,1.215526002,6.1999998
20-40,0.571475904,5.9000001
0-20,1.437374751,6.1999998
0-20,1.215526002,6.1999998
20-40,0.482873584,5.9000001
0-20,1.457547649,6.1999998
0-20,1.179584534,6.1999998
20-40,0.555142835,5.9000001
0-20,1.461508431,6.1999998
0-20,1.205019668,6.1999998
20-40,0.462278176,5.9000001
0-20,1.029156424,6.6999998
0-20,0.874344956,6.6999998
20-40,0.647148153,7.0999999
20-40,0.250478555,7.0999999
0-20,0.8722099,6.6999998
0-20,0.717815244,6.6999998
20-40,0.501407106,7.0999999
20-40,0.35758041,7.0999999
0-20,0.81646005,6.6999998
0-20,0.601886239,6.6999998
20-40,0.455986239,7.0999999
20-40,0.140972885,7.0999999
0-20,1.46146401,5.86
0-20,1.00607907,5.73
