layer,log_stock,MBC,log_MBC
20-40,0.377634034,0.085216669,-1.069475444
0-20,1.160955676,0.079823209,-1.097870816
0-20,1.048323697,0.079823209,-1.097870816
20-40,0.52376207,0.085216669,-1.069475444
0-20,2.168521054,0.078292,-1.106282613
20-40,2.141161193,0.083582,-1.077887241
0-20,1.947869758,0.094663685,-1.023816595
20-40,1.999099208,0.076575017,-1.115912897
0-20,1.948991639,0.076860843,-1.114294859
20-40,1.900397719,0.082054143,-1.085899488
0-20,1.906020253,0.08339622,-1.078853631
20-40,1.767636664,0.082832732,-1.081798012
0-20,1.808605239,0.084552445,-1.072873828
20-40,1.69592625,0.091818671,-1.037068997
0-20,2.001106908,0.095175617,-1.0214743
20-40,2.074939985,0.117469004,-0.930076712
0-20,2.001683532,0.094468547,-1.024712763
20-40,2.053700614,0.116596315,-0.933315175
0-20,1.999661987,0.100702975,-0.996957699
20-40,2.05085208,0.124291059,-0.905560111
0-20,1.979113863,0.095983253,-1.017804536
20-40,2.015931172,0.118465817,-0.926406948
0-20,0.902002891,0.093788143,-1.027852061
0-20,0.915682589,0.093788143,-1.027852061
0-20,0.886980018,0.093788143,-1.027852061
0-20,0.969321774,0.093788143,-1.027852061
0-20,0.887878249,0.093788143,-1.027852061
0-20,0.917362647,0.093788143,-1.027852061
0-20,0.958145153,0.093788143,-1.027852061
0-20,0.453544604,0.048687481,-1.312582691
0-20,0.511412732,0.048687481,-1.312582691
0-20,0.583896713,0.048687481,-1.312582691
20-40,0.447874027,0.048386941,-1.315271829
0-20,0.415260555,0.048687481,-1.312582691
0-20,0.426472222,0.048687481,-1.312582691
0-20,0.471015788,0.048687481,-1.312582691
20-40,0.225526375,0.048386941,-1.315271829
0-20,0.281397022,0.048687481,-1.312582691
0-20,0.253270142,0.048687481,-1.312582691
0-20,0.191786248,0.048687481,-1.312582691
20-40,0.24663643,0.048386941,-1.315271829
0-20,0.269456903,0.048687481,-1.312582691
0-20,0.224035553,0.048687481,-1.312582691
0-20,0.136885378,0.048687481,-1.312582691
20-40,0.160102213,0.048386941,-1.315271829
0-20,0.348764232,0.048687481,-1.312582691
0-20,0.338560074,0.048687481,-1.312582691
0-20,0.224035553,0.048687481,-1.312582691
20-40,0.112081925,0.048386941,-1.315271829
0-20,0.687503991,0.048687481,-1.312582691
0-20,0.652934476,0.048687481,-1.312582691
0-20,0.597260674,0.048687481,-1.312582691
20-40,0.440329636,0.048386941,-1.315271829
0-20,0.681393214,0.048687481,-1.312582691
0-20,0.583896713,0.048687481,-1.312582691
0-20,0.426472222,0.048687481,-1.312582691
20-40,0.242655701,0.048386941,-1.315271829
0-20,1.309223784,0.093788143,-1.027852061
0-20,1.050091162,0.093788143,-1.027852061
20-40,0.953193145,0.097314014,-1.011824615
20-40,0.955855087,0.097314014,-1.011824615
0-20,1.094198517,0.093788143,-1.027852061
0-20,0.917362647,0.093788143,-1.027852061
20-40,0.809195967,0.097314014,-1.011824615
20-40,0.838153663,0.097314014,-1.011824615
0-20,-0.016879105,0.03770403,-1.423612228
0-20,-0.016879105,0.03770403,-1.423612228
0-20,-0.016879105,0.03770403,-1.423612228
0-20,-0.016879105,0.03770403,-1.423612228
0-20,-0.016879105,0.03770403,-1.423612228
0-20,-0.016879105,0.03770403,-1.423612228
0-20,-0.016879105,0.03770403,-1.423612228
0-20,-0.003488328,0.03770403,-1.423612228
0-20,-0.080921908,0.03770403,-1.423612228
0-20,-0.04383157,0.03770403,-1.423612228
0-20,-0.20481541,0.03770403,-1.423612228
0-20,-0.089375595,0.03770403,-1.423612228
0-20,-0.092588639,0.03770403,-1.423612228
0-20,-0.094743951,0.03770403,-1.423612228
20-40,-0.295849483,0.038517786,-1.414338684
20-40,-0.156767222,0.038517786,-1.414338684
20-40,-0.145693958,0.038517786,-1.414338684
20-40,-0.199282922,0.038517786,-1.414338684
20-40,-0.225483034,0.038517786,-1.414338684
20-40,-0.164943898,0.038517786,-1.414338684
20-40,-0.206209615,0.038517786,-1.414338684
0-20,0.92867232,0.088898963,-1.051103307
0-20,1.007863802,0.077058043,-1.113182023
0-20,0.979045504,0.101202392,-0.994809224
0-20,1.007476366,0.08496966,-1.070736122
20-40,1.076591806,0.09722653,-1.012215215
0-20,0.565375503,0.104425565,-0.981193168
0-20,0.51054501,0.101584053,-0.993174465
0-20,0.441852176,0.107267077,-0.969533555
20-40,0.292256071,0.112950101,-0.947113378
0-20,0.903159469,0.093788143,-1.027852061
0-20,0.916803349,0.093788143,-1.027852061
0-20,0.889073007,0.093788143,-1.027852061
0-20,0.970559786,0.093788143,-1.027852061
0-20,0.889073007,0.093788143,-1.027852061
0-20,0.916803349,0.093788143,-1.027852061
0-20,0.958526615,0.093788143,-1.027852061
0-20,0.788493617,0.093788143,-1.027852061
0-20,0.80617726,0.093788143,-1.027852061
0-20,0.750807592,0.093788143,-1.027852061
0-20,0.750807592,0.093788143,-1.027852061
0-20,0.765325751,0.093788143,-1.027852061
0-20,0.745858314,0.093788143,-1.027852061
0-20,0.801823394,0.093788143,-1.027852061
0-20,1.29578694,0.067322474,-1.171839935
20-40,1.179838928,0.07883816,-1.103263521
0-20,1.156609718,0.062893364,-1.201395179
20-40,1.180068501,0.077066516,-1.113134275
0-20,1.233909453,0.063779186,-1.195321031
20-40,1.18999534,0.077952338,-1.108170855
0-20,1.28546729,0.059350075,-1.226578725
20-40,1.194292282,0.06997994,-1.155026436
0-20,1.285647309,0.067322474,-1.171839935
20-40,1.114610984,0.082381448,-1.084170579
0-20,1.162862993,0.066436652,-1.177592264
20-40,1.132835804,0.082381448,-1.084170579
0-20,1.240549248,0.066436652,-1.177592264
20-40,1.122150319,0.081495626,-1.0888657
0-20,1.270119599,0.059350075,-1.226578725
20-40,1.139123134,0.07440905,-1.128374241
0-20,1.123417129,0.087376756,-1.058604085
0-20,1.230127936,0.087376756,-1.058604085
0-20,1.312118939,0.087376756,-1.058604085
0-20,1.123417129,0.087376756,-1.058604085
0-20,1.230127936,0.087376756,-1.058604085
0-20,1.312118939,0.087376756,-1.058604085
0-20,1.123417129,0.087376756,-1.058604085
0-20,1.230071176,0.087376756,-1.058604085
0-20,1.312118939,0.087376756,-1.058604085
0-20,0.834339306,0.087376756,-1.058604085
0-20,0.965237459,0.087376756,-1.058604085
0-20,1.173851483,0.087376756,-1.058604085
0-20,0.850143658,0.087376756,-1.058604085
0-20,0.988421602,0.087376756,-1.058604085
0-20,1.195342181,0.087376756,-1.058604085
0-20,0.857835263,0.087376756,-1.058604085
0-20,0.988421602,0.087376756,-1.058604085
0-20,1.195342181,0.087376756,-1.058604085
20-40,0.779382899,0.107843383,-0.967206497
20-40,0.779382899,0.107843383,-0.967206497
20-40,0.757273012,0.107843383,-0.967206497
20-40,0.779382899,0.107843383,-0.967206497
20-40,0.779382899,0.107843383,-0.967206497
20-40,0.757273012,0.107843383,-0.967206497
20-40,0.779382899,0.107843383,-0.967206497
20-40,0.779382899,0.107843383,-0.967206497
20-40,0.757273012,0.107843383,-0.967206497
0-20,1.951196812,0.067154354,-1.172925826
0-20,1.951196812,0.067154354,-1.172925826
0-20,2.004445882,0.067154354,-1.172925826
0-20,1.989142855,0.067154354,-1.172925826
