Type,Ecosystem,Mycorrhiza,log_stock,stock,Species
Seasonal frozen ground,Grassland,AM,0.914722239,8.217169374,GWC
Seasonal frozen ground,Wetland,AM,0.438947787,2.747563805,XYZ-TC
Seasonal frozen ground,Forest,,0.497205539,3.14199536,
Seasonal frozen ground,Wetland,AM,,,LW-JP
Seasonal frozen ground,Wetland,AM,0.362909114,2.306264501,LW-SLC
Seasonal frozen ground,Forest,EcM,0.719169726,5.238051044,LYS
Seasonal frozen ground,Grassland,AM,0.589978094,3.89025522,BLX-XAHZZ
Seasonal frozen ground,Forest,AM,0.380882485,2.403712297,YS-CH
Seasonal frozen ground,Wetland,AM,0.335124995,2.163341067,LW
Seasonal frozen ground,Forest,EcM,,,YS
Seasonal frozen ground,Grassland,,0.350432414,2.240951276,
Seasonal frozen ground,Forest,EcM,-0.044751014,0.902088167,YS-LS
Seasonal frozen ground,Grassland,AM,,,JC
Seasonal frozen ground,Grassland,AM,0.353590933,2.257308585,JC
Seasonal frozen ground,Forest,EcM,-0.024776168,0.944547564,YH
Seasonal frozen ground,Wetland,AM,0.841135815,6.936426914,SLC-XYZ
Seasonal frozen ground,Wetland,AM,0.775083924,5.957772622,LW
Permafrost,Wetland,ErM,2.03537754,108.48696,XYDX-DSYJ
Seasonal frozen ground,Wetland,AM,1.942510055,87.6012,LYS
Permafrost,Wetland,ErM,1.863284783,72.9936,XYDX-BMYHZC
Permafrost,Wetland,EcM,1.860989259,72.6088,LYS-YH
Seasonal frozen ground,Wetland,NM,1.010206641,10.2378,XYZ
Permafrost,Forest,EcM,1.344917433,22.12674,
Permafrost,Forest,EcM,1.297243897,19.8264015,
Permafrost,Forest,,1.178734135,15.09156,
Permafrost,Wetland,ErM,2.017710978,104.1624,DSYJ-NTX
Seasonal frozen ground,Wetland,AM,1.799059201,62.9592,MGTC-XYTM
Permafrost,Wetland,ErM,1.871618114,74.40774,XYDJ
Permafrost,Wetland,EcM,2.015530338,103.6407,LYS-BH
Permafrost,Forest,EcM,1.280027168,19.0557992,LYS
Permafrost,Forest,EcM,1.033346541,10.79808,LYS
Permafrost,Forest,EcM,1.848227998,70.506312,LYS
Permafrost,Forest,EcM,1.510475732,32.394832,LYS
Permafrost,Wetland,ErM,,,DSYJ-BMYHZC
Permafrost,Wetland,EcM,1.14850394,14.0768,CH-DSYJ
Permafrost,Wetland,EcM,1.14690287,14.025,CH-DSYJ
Permafrost,Wetland,EcM,1.082785087,12.09999212,LYS-XYDX
Permafrost,Forest,EcM,0.981770601,9.58894,LYS
Permafrost,Forest,EcM,1.011824096,10.276,LYS
Permafrost,Forest,EcM,0.949202585,8.89616,ZZS
Permafrost,Forest,EcM,0.991443169,9.8049,ZZS
Permafrost,Forest,EcM,0.804570104,6.37632,BH
Permafrost,Forest,EcM,0.805084715,6.38388,BH
Permafrost,Wetland,AM,1.360029639,22.91024,TC
Permafrost,Wetland,AM,1.246260195,17.63032,TC
Permafrost,Forest,EcM,1.095674165,12.46448,BH
Permafrost,Forest,EcM,1.009454295,10.22008,BH
Permafrost,Forest,EcM,1.079745462,12.0156,LYS
Permafrost,Forest,EcM,0.984847628,9.65712,LYS
Permafrost,Wetland,AM,1.314440279,20.6272,TC
Permafrost,Wetland,EcM,1.376248375,23.782,TH-DSYJ
Permafrost,Wetland,EcM,1.500949647,31.692,MCY
Permafrost,Wetland,EcM,1.493474781,31.1512,BH
Permafrost,Wetland,EcM,1.297436584,19.8352,LYS-TC
Permafrost,Wetland,EcM,1.146580707,14.0146,LYS-TX
Permafrost,Wetland,EcM,1.45805437,28.7114,LYS-NTX
Permafrost,Forest,EcM,1.396706948,24.92912,LYS
Permafrost,Forest,EcM,1.380580235,24.0204,ZZS
Permafrost,Forest,EcM,1.035602621,10.85432,LYS
Permafrost,Forest,EcM,0.944632675,8.80304,ZZS
Permafrost,Forest,EcM,1.007597583,10.17648,BH
Permafrost,Wetland,EcM,1.269527887,18.60064,LYS
Permafrost,Wetland,EcM,0.714825813,5.18592,LYS
Permafrost,Wetland,EcM,1.320649693,20.92424,ZZS
Permafrost,Wetland,EcM,0.808750972,6.438,ZZS
Permafrost,Wetland,EcM,1.160955676,14.48624,BH
Permafrost,Wetland,EcM,1.048323697,11.17696,BH
Permafrost,Wetland,EcM,2.168521054,147.408,CH-DSYJ
Permafrost,Wetland,,1.947869758,88.689,
Permafrost,Wetland,,1.948991639,88.9184,
Permafrost,Wetland,,1.906020253,80.5416,
Permafrost,Wetland,,1.808605239,64.3584,
Permafrost,Wetland,,2.001106908,100.2552,
Permafrost,Wetland,,2.001683532,100.3884,
Permafrost,Wetland,,1.999661987,99.9222,
Permafrost,Wetland,,1.979113863,95.3046,
Seasonal frozen ground,Grassland,AM,0.902002891,7.98,YC
Seasonal frozen ground,Grassland,AM,0.915682589,8.23536,YC
Seasonal frozen ground,Grassland,AM,0.886980018,7.70868,YC
Seasonal frozen ground,Grassland,AM,0.969321774,9.31798,YC
Seasonal frozen ground,Grassland,AM,0.887878249,7.72464,YC
Seasonal frozen ground,Grassland,AM,0.917362647,8.26728,YC
Seasonal frozen ground,Grassland,AM,0.958145153,9.08124,YC
Seasonal frozen ground,Forest,EcM,,,MGL
Seasonal frozen ground,Forest,EcM,,,MGL
Seasonal frozen ground,Grassland,AM,0.453544604,2.84148,YC
